adv_correct_classification,clean_true_prob,adv_true_prob,clean_max_prob,adv_max_prob,model,attack,attack_param,l2_norm,ssim,clean_correct_classification
False,0.9859731197357178,0.0239415578544139,0.9859731197357178,0.1329293251037597,resnet50,fgsm,0.13,47.59025192260742,0.4818419218063354,True
True,0.985670268535614,0.7321887612342834,0.985670268535614,0.7321887612342834,resnet50,fgsm,0.13,49.84334945678711,0.4031285941600799,True
True,0.974802553653717,0.716913104057312,0.974802553653717,0.716913104057312,resnet50,fgsm,0.13,49.05576705932617,0.414922297000885,True
True,0.996794044971466,0.306132972240448,0.996794044971466,0.306132972240448,resnet50,fgsm,0.13,49.321624755859375,0.2875973284244537,True
True,0.9890440702438354,0.7039288282394409,0.9890440702438354,0.7039288282394409,resnet50,fgsm,0.13,48.20165252685547,0.4411612153053283,True
False,0.998765468597412,0.0042044762521982,0.998765468597412,0.1390079706907272,resnet50,fgsm,0.13,48.28264999389648,0.2647404372692108,True
True,0.995932638645172,0.6815899610519409,0.995932638645172,0.6815899610519409,resnet50,fgsm,0.13,50.04252243041992,0.4499378204345703,True
True,0.993465006351471,0.3987197279930115,0.993465006351471,0.3987197279930115,resnet50,fgsm,0.13,49.80268096923828,0.3708890676498413,True
False,0.9803726077079772,0.0113053666427731,0.9803726077079772,0.3695909678936004,resnet50,fgsm,0.13,50.12404251098633,0.1976810693740844,True
True,0.9984538555145264,0.1278007626533508,0.9984538555145264,0.1278007626533508,resnet50,fgsm,0.13,48.33286666870117,0.4808821082115173,True
True,0.996077597141266,0.0648504570126533,0.996077597141266,0.0648504570126533,resnet50,fgsm,0.13,50.15817260742188,0.3892164230346679,True
False,0.9962750673294068,0.0110159153118729,0.9962750673294068,0.0664801076054573,resnet50,fgsm,0.13,49.19300842285156,0.3817200362682342,True
False,0.9985644221305848,0.0231225714087486,0.9985644221305848,0.0586484558880329,resnet50,fgsm,0.13,49.1114501953125,0.4068003892898559,True
False,0.9903415441513062,0.0165314935147762,0.9903415441513062,0.0509840846061706,resnet50,fgsm,0.13,48.99528503417969,0.2115300297737121,True
False,0.8252915740013123,0.0037431917153298,0.8252915740013123,0.0469158589839935,resnet50,fgsm,0.13,48.226112365722656,0.2724819183349609,True
