correct_classification,true_prob_before,true_prob_after,max_prob_before,max_prob_after,model,attack,attack_param,l2_norm,ssim
False,0.9986675977706909,0.0021661664359271526,0.9986675977706909,0.11246751248836517,vgg16,fgsm,0.07,26.081968307495117,0.7163680791854858
False,0.9999978542327881,0.00048345373943448067,0.9999978542327881,0.09776387363672256,vgg16,fgsm,0.07,27.03343391418457,0.6512207388877869
False,0.9999802112579346,0.01263331901282072,0.9999802112579346,0.11027918010950089,vgg16,fgsm,0.07,26.881120681762695,0.6540580987930298
False,0.9998632669448853,0.002063427586108446,0.9998632669448853,0.19962383806705475,vgg16,fgsm,0.07,26.946470260620117,0.5176510214805603
False,0.9992606043815613,0.0035050685983151197,0.9992606043815613,0.29458382725715637,vgg16,fgsm,0.07,26.66813850402832,0.6929633021354675
False,0.03068450465798378,0.0004460388736333698,0.2430841028690338,0.0963229089975357,vgg16,fgsm,0.07,26.26825714111328,0.5024408102035522
False,0.9999356269836426,6.322918488876894e-05,0.9999356269836426,0.22244463860988617,vgg16,fgsm,0.07,27.091995239257812,0.7060947418212891
False,0.5264146327972412,0.0002699831675272435,0.5264146327972412,0.36536091566085815,vgg16,fgsm,0.07,27.01959800720215,0.6018025279045105
False,0.9977695941925049,0.009402500465512276,0.9977695941925049,0.29508087038993835,vgg16,fgsm,0.07,27.079532623291016,0.3806920051574707
False,0.9026808738708496,0.0007887323736213148,0.9026808738708496,0.21173584461212158,vgg16,fgsm,0.07,26.662342071533203,0.7054880857467651
False,0.9997749924659729,0.0007464904338121414,0.9997749924659729,0.428340345621109,vgg16,fgsm,0.07,27.082429885864258,0.6417062282562256
False,0.9997925162315369,0.005242822226136923,0.9997925162315369,0.19208601117134094,vgg16,fgsm,0.07,26.81199836730957,0.6420971751213074
False,0.9999915361404419,0.002487181918695569,0.9999915361404419,0.7297083735466003,vgg16,fgsm,0.07,26.865718841552734,0.6720999479293823
False,0.9990216493606567,0.0007644169381819665,0.9990216493606567,0.13911883533000946,vgg16,fgsm,0.07,26.995256423950195,0.409252405166626
False,0.1596345454454422,0.0008111154893413186,0.2915821671485901,0.268802285194397,vgg16,fgsm,0.07,26.709877014160156,0.48309630155563354
False,0.9974863529205322,0.01878518983721733,0.9974863529205322,0.13136832416057587,vgg16,fgsm,0.07,27.108598709106445,0.4396698474884033
False,0.9984526634216309,0.0024671521969139576,0.9984526634216309,0.3173658847808838,vgg16,fgsm,0.07,26.386667251586914,0.6216171979904175
False,0.7770533561706543,0.000196004199096933,0.7770533561706543,0.5297302007675171,vgg16,fgsm,0.07,23.37270164489746,0.5462621450424194
False,0.9999963045120239,0.0023976967204362154,0.9999963045120239,0.30752527713775635,vgg16,fgsm,0.07,25.7513370513916,0.5828704237937927
False,0.9906641244888306,0.014524352736771107,0.9906641244888306,0.08787805587053299,vgg16,fgsm,0.07,26.299163818359375,0.39163264632225037
False,0.9999997615814209,0.015195799991488457,0.9999997615814209,0.16592052578926086,vgg16,fgsm,0.07,27.09482192993164,0.5962355732917786
False,0.9884105920791626,0.0010650120675563812,0.9884105920791626,0.07499518990516663,vgg16,fgsm,0.07,27.094566345214844,0.5783891677856445
False,0.9996250867843628,0.00016407888324465603,0.9996250867843628,0.2673085331916809,vgg16,fgsm,0.07,26.8679141998291,0.5883304476737976
False,0.9701675176620483,0.010014857165515423,0.9701675176620483,0.15424874424934387,vgg16,fgsm,0.07,26.653478622436523,0.6110088229179382
False,0.9453171491622925,5.724891525460407e-05,0.9453171491622925,0.5003746151924133,vgg16,fgsm,0.07,26.160552978515625,0.5487533807754517
False,0.9999858140945435,0.03561384603381157,0.9999858140945435,0.08867964893579483,vgg16,fgsm,0.07,27.066442489624023,0.4746500849723816
False,0.9997699856758118,0.0007906948449090123,0.9997699856758118,0.10756346583366394,vgg16,fgsm,0.07,26.891042709350586,0.6107351183891296
False,0.9992362260818481,0.001252626534551382,0.9992362260818481,0.4661194980144501,vgg16,fgsm,0.07,26.200895309448242,0.5767699480056763
False,0.9999760389328003,0.044805314391851425,0.9999760389328003,0.4342903792858124,vgg16,fgsm,0.07,26.75763511657715,0.504768431186676
False,0.9999938011169434,0.003504317020997405,0.9999938011169434,0.35259950160980225,vgg16,fgsm,0.07,26.272703170776367,0.6638398170471191
False,0.9999996423721313,0.009022992104291916,0.9999996423721313,0.12705710530281067,vgg16,fgsm,0.07,27.13097381591797,0.40191543102264404
True,1.0,0.9997022747993469,1.0,0.9997022747993469,vgg16,fgsm,0.07,26.645219802856445,0.5457905530929565
False,0.9962336421012878,0.00013767673226539046,0.9962336421012878,0.5683798789978027,vgg16,fgsm,0.07,26.950607299804688,0.8325679302215576
False,0.9990658164024353,0.0011206197086721659,0.9990658164024353,0.2300325185060501,vgg16,fgsm,0.07,24.21872901916504,0.37656983733177185
False,0.9953750967979431,0.031222349032759666,0.9953750967979431,0.2844550609588623,vgg16,fgsm,0.07,25.274032592773438,0.5334604978561401
False,0.9999876022338867,0.0019465949153527617,0.9999876022338867,0.10192514210939407,vgg16,fgsm,0.07,26.4259090423584,0.587812066078186
False,0.915440022945404,0.0013044268125668168,0.915440022945404,0.20539900660514832,vgg16,fgsm,0.07,27.025959014892578,0.5647675395011902
False,0.9999494552612305,0.00016427028458565474,0.9999494552612305,0.5836233496665955,vgg16,fgsm,0.07,26.881986618041992,0.6916111707687378
False,0.9993844032287598,0.004091659560799599,0.9993844032287598,0.17069728672504425,vgg16,fgsm,0.07,26.764142990112305,0.5043582916259766
False,0.9997547268867493,0.0031965936068445444,0.9997547268867493,0.10630344599485397,vgg16,fgsm,0.07,27.14952850341797,0.5090123414993286
False,0.9999982118606567,0.08843740820884705,0.9999982118606567,0.23803138732910156,vgg16,fgsm,0.07,26.59088706970215,0.6908525228500366
False,0.9416652321815491,0.0010764459148049355,0.9416652321815491,0.3490418493747711,vgg16,fgsm,0.07,26.406667709350586,0.5024662613868713
False,0.9999994039535522,0.015690460801124573,0.9999994039535522,0.10509584099054337,vgg16,fgsm,0.07,26.743499755859375,0.49199628829956055
False,0.9983687996864319,0.00017186276090797037,0.9983687996864319,0.295173317193985,vgg16,fgsm,0.07,26.59235382080078,0.5592136383056641
False,0.035396508872509,0.00034361507277935743,0.1466440111398697,0.2424183040857315,vgg16,fgsm,0.07,25.575197219848633,0.39818641543388367
False,0.9999790191650391,0.01359345018863678,0.9999790191650391,0.2933289110660553,vgg16,fgsm,0.07,26.4189395904541,0.6282064914703369
True,1.0,0.606615424156189,1.0,0.606615424156189,vgg16,fgsm,0.07,25.853849411010742,0.5591785907745361
False,0.8667506575584412,0.001489868387579918,0.8667506575584412,0.3316505551338196,vgg16,fgsm,0.07,26.431020736694336,0.4461361765861511
False,0.999860405921936,0.018276846036314964,0.999860405921936,0.1007341668009758,vgg16,fgsm,0.07,25.96497344970703,0.49819302558898926
False,0.9999666213989258,8.80462393979542e-05,0.9999666213989258,0.17749367654323578,vgg16,fgsm,0.07,26.38987922668457,0.5673650503158569
False,0.9915477633476257,0.0018395534716546535,0.9915477633476257,0.2524174153804779,vgg16,fgsm,0.07,26.74114990234375,0.4699636399745941
False,0.009678182192146778,2.237876833532937e-05,0.3638197183609009,0.3305280804634094,vgg16,fgsm,0.07,26.87942886352539,0.7878190279006958
False,0.3099055290222168,0.00020293593115638942,0.3099055290222168,0.4380250871181488,vgg16,fgsm,0.07,26.917774200439453,0.734979510307312
False,0.9940698146820068,0.0008811186417005956,0.9940698146820068,0.12456876039505005,vgg16,fgsm,0.07,27.070356369018555,0.6804604530334473
False,0.8145280480384827,0.0003631928702816367,0.8145280480384827,0.1829477846622467,vgg16,fgsm,0.07,26.522266387939453,0.7235356569290161
False,0.4657871127128601,0.0007463203510269523,0.4657871127128601,0.13439501821994781,vgg16,fgsm,0.07,26.617280960083008,0.4618407189846039
False,0.8996164798736572,0.0007328960346058011,0.8996164798736572,0.3010425269603729,vgg16,fgsm,0.07,27.10332489013672,0.45361852645874023
False,0.9992302656173706,0.0010079650674015284,0.9992302656173706,0.14452169835567474,vgg16,fgsm,0.07,27.03874397277832,0.7342542409896851
False,0.9999991655349731,0.0017634955001994967,0.9999991655349731,0.29116886854171753,vgg16,fgsm,0.07,26.927507400512695,0.7382747530937195
False,0.9999065399169922,0.00022421241737902164,0.9999065399169922,0.26444706320762634,vgg16,fgsm,0.07,26.16461181640625,0.5823372602462769
False,0.9924007654190063,0.0048630558885633945,0.9924007654190063,0.1804400235414505,vgg16,fgsm,0.07,27.142696380615234,0.45795297622680664
False,0.007079354953020811,0.0001678799162618816,0.2573981285095215,0.11882131546735764,vgg16,fgsm,0.07,27.141429901123047,0.26251694560050964
False,0.43385419249534607,7.857970922486857e-05,0.43385419249534607,0.17465414106845856,vgg16,fgsm,0.07,27.10182762145996,0.5047297477722168
False,0.9999815225601196,0.0011293553980067372,0.9999815225601196,0.07083506882190704,vgg16,fgsm,0.07,27.116554260253906,0.6136618852615356
False,0.9996449947357178,0.0008421413949690759,0.9996449947357178,0.5075709819793701,vgg16,fgsm,0.07,26.115774154663086,0.6812660098075867
False,0.997916042804718,0.00032992224441841245,0.997916042804718,0.3503519296646118,vgg16,fgsm,0.07,26.809473037719727,0.5957152247428894
False,0.5023852586746216,7.163621921790764e-05,0.5023852586746216,0.3120170533657074,vgg16,fgsm,0.07,24.818641662597656,0.5361286997795105
False,0.9999996423721313,0.05942191183567047,0.9999996423721313,0.9299503564834595,vgg16,fgsm,0.07,27.131629943847656,0.763004720211029
False,7.029728294583037e-05,0.00023159167903941125,0.90106201171875,0.2940024435520172,vgg16,fgsm,0.07,26.649608612060547,0.29280492663383484
False,0.0028672132175415754,0.010449977591633797,0.9951188564300537,0.361082524061203,vgg16,fgsm,0.07,26.924787521362305,0.41745901107788086
False,0.9724747538566589,0.0006572050624527037,0.9724747538566589,0.2169295996427536,vgg16,fgsm,0.07,26.571311950683594,0.5679401755332947
False,0.964832067489624,4.020536653115414e-05,0.964832067489624,0.3395173251628876,vgg16,fgsm,0.07,26.29427719116211,0.7143681049346924
False,0.9997910857200623,1.3282480040288647e-06,0.9997910857200623,0.2609170377254486,vgg16,fgsm,0.07,27.046428680419922,0.7702199816703796
False,0.8028327226638794,0.006347633898258209,0.8028327226638794,0.11277396231889725,vgg16,fgsm,0.07,27.11553955078125,0.4234783351421356
