adv_correct_classification_tgt,clean_true_prob_src,clean_max_prob_src,adv_true_prob_tgt,adv_max_prob_tgt,model_src,model_tgt,attack,attack_param,l2_norm,ssim,clean_correct_classification
True,0.9859511256217957,0.9859511256217957,0.9982006549835204,0.9982006549835204,resnet50,vgg16,cw,1.0,1.4347916841506958,0.9984397292137146,True
True,0.9856581091880798,0.9856581091880798,0.99999737739563,0.99999737739563,resnet50,vgg16,cw,1.0,1.3503568172454834,0.9983115196228028,True
True,0.9748320579528807,0.9748320579528807,0.999974489212036,0.999974489212036,resnet50,vgg16,cw,1.0,1.5951042175292969,0.9965419769287108,True
True,0.9967948794364928,0.9967948794364928,0.9995959401130676,0.9995959401130676,resnet50,vgg16,cw,1.0,1.7819843292236328,0.9920334219932556,True
True,0.9890475869178772,0.9890475869178772,0.9995012283325196,0.9995012283325196,resnet50,vgg16,cw,1.0,1.6596434116363523,0.9976756572723388,True
False,0.9987567663192748,0.9987567663192748,0.0402654930949211,0.2455088198184967,resnet50,vgg16,cw,1.0,1.2338110208511353,0.9944025278091432,False
True,0.99593985080719,0.99593985080719,0.999561607837677,0.999561607837677,resnet50,vgg16,cw,1.0,2.1147918701171875,0.9952880144119264,True
False,0.9934543371200562,0.9934543371200562,0.4142178297042846,0.5709412693977356,resnet50,vgg16,cw,1.0,2.017362117767334,0.9920310974121094,True
True,0.9804065227508544,0.9804065227508544,0.996535062789917,0.996535062789917,resnet50,vgg16,cw,1.0,2.7096965312957764,0.9773709774017334,True
True,0.9984664916992188,0.9984664916992188,0.7947582602500916,0.7947582602500916,resnet50,vgg16,cw,1.0,1.3548448085784912,0.9974278211593628,True
True,0.9960901141166688,0.9960901141166688,0.9983434677124025,0.9983434677124025,resnet50,vgg16,cw,1.0,1.8398853540420528,0.9947683811187744,True
True,0.9962515234947203,0.9962515234947203,0.999277889728546,0.999277889728546,resnet50,vgg16,cw,1.0,1.9322882890701287,0.9955506324768066,True
True,0.9985600113868712,0.9985600113868712,0.9999611377716064,0.9999611377716064,resnet50,vgg16,cw,1.0,2.200978279113769,0.9954716563224792,True
True,0.9903799295425416,0.9903799295425416,0.99895977973938,0.99895977973938,resnet50,vgg16,cw,1.0,2.1934382915496826,0.9832329154014589,True
False,0.8287179470062256,0.8287179470062256,0.0672270953655242,0.3786069452762604,resnet50,vgg16,cw,1.0,2.0353710651397705,0.9885546565055848,False
True,0.9905347228050232,0.9905347228050232,0.9963776469230652,0.9963776469230652,resnet50,vgg16,cw,1.0,2.043267250061035,0.9880163073539734,True
True,0.9944314360618592,0.9944314360618592,0.9948585033416748,0.9948585033416748,resnet50,vgg16,cw,1.0,2.363630771636963,0.9902420043945312,True
True,0.9755632877349854,0.9755632877349854,0.70839923620224,0.70839923620224,resnet50,vgg16,cw,1.0,1.3943651914596558,0.9957475662231444,True
True,0.9897451996803284,0.9897451996803284,0.9999792575836182,0.9999792575836182,resnet50,vgg16,cw,1.0,1.864887237548828,0.9948713183403016,True
True,0.9838902354240416,0.9838902354240416,0.986459255218506,0.986459255218506,resnet50,vgg16,cw,1.0,1.215041160583496,0.9957641959190368,True
True,0.9927219748497008,0.9927219748497008,0.9999996423721312,0.9999996423721312,resnet50,vgg16,cw,1.0,1.918724536895752,0.9944281578063964,True
True,0.9980859756469728,0.9980859756469728,0.9713866710662842,0.9713866710662842,resnet50,vgg16,cw,1.0,1.6930454969406128,0.9963178634643556,True
True,0.995461642742157,0.995461642742157,0.9992198944091796,0.9992198944091796,resnet50,vgg16,cw,1.0,1.4889715909957886,0.9972931742668152,True
True,0.9979925155639648,0.9979925155639648,0.8499492406845093,0.8499492406845093,resnet50,vgg16,cw,1.0,1.879055738449097,0.9954878687858582,True
True,0.9941394329071044,0.9941394329071044,0.9499895572662354,0.9499895572662354,resnet50,vgg16,cw,1.0,1.194715142250061,0.997195839881897,True
True,0.9956134557724,0.9956134557724,0.9997650980949402,0.9997650980949402,resnet50,vgg16,cw,1.0,2.9309723377227783,0.9754557013511658,True
True,0.9908316731452942,0.9908316731452942,0.9998204112052916,0.9998204112052916,resnet50,vgg16,cw,1.0,1.9759254455566408,0.9944387674331664,True
True,0.9967833757400512,0.9967833757400512,0.9984918832778932,0.9984918832778932,resnet50,vgg16,cw,1.0,1.675487756729126,0.9949485659599304,True
True,0.9971505999565125,0.9971505999565125,0.999958038330078,0.999958038330078,resnet50,vgg16,cw,1.0,1.8119993209838867,0.9925150871276855,True
True,0.9925561547279358,0.9925561547279358,0.9999908208847046,0.9999908208847046,resnet50,vgg16,cw,1.0,2.056593179702759,0.9953346252441406,True
True,0.984536111354828,0.984536111354828,0.9999995231628418,0.9999995231628418,resnet50,vgg16,cw,1.0,2.490867376327514,0.977797269821167,True
True,0.9854265451431274,0.9854265451431274,1.0,1.0,resnet50,vgg16,cw,1.0,1.6554750204086304,0.9917296171188354,True
True,0.991421639919281,0.991421639919281,0.9908026456832886,0.9908026456832886,resnet50,vgg16,cw,1.0,1.797326922416687,0.998342514038086,True
True,0.9941806197166444,0.9941806197166444,0.9982604384422302,0.9982604384422302,resnet50,vgg16,cw,1.0,1.6282740831375122,0.9930388331413268,True
True,0.9925285577774048,0.9925285577774048,0.991297483444214,0.991297483444214,resnet50,vgg16,cw,1.0,1.935104250907898,0.9943267703056335,True
True,0.9932265877723694,0.9932265877723694,0.9999822378158568,0.9999822378158568,resnet50,vgg16,cw,1.0,1.1033512353897097,0.9975621700286864,True
True,0.999236822128296,0.999236822128296,0.6829639673233032,0.6829639673233032,resnet50,vgg16,cw,1.0,0.8702224493026733,0.9984272718429564,True
True,0.995278000831604,0.995278000831604,0.9996581077575684,0.9996581077575684,resnet50,vgg16,cw,1.0,2.2720181941986084,0.9953175783157348,True
True,0.997170388698578,0.997170388698578,0.9981005787849426,0.9981005787849426,resnet50,vgg16,cw,1.0,2.3662993907928467,0.9893123507499696,True
True,0.99228036403656,0.99228036403656,0.999848484992981,0.999848484992981,resnet50,vgg16,cw,1.0,1.6347442865371704,0.9946291446685792,True
