adv_correct_classification_tgt,clean_true_prob_src,clean_max_prob_src,adv_true_prob_tgt,adv_max_prob_tgt,model_src,model_tgt,attack,attack_param,l2_norm,ssim,clean_correct_classification
False,0.9986680746078492,0.9986680746078492,0.0368357077240943,0.060167908668518,vgg16,resnet50,fgsm,0.21,75.04336547851562,0.3043150603771209,True
False,0.999997854232788,0.999997854232788,0.0479652434587478,0.1628213673830032,vgg16,resnet50,fgsm,0.21,78.79073333740234,0.2340833842754364,True
False,0.9999802112579346,0.9999802112579346,0.0155590958893299,0.0569358542561531,vgg16,resnet50,fgsm,0.21,76.76364135742188,0.245746225118637,True
False,0.9998633861541748,0.9998633861541748,0.0074720559641718,0.0799103528261184,vgg16,resnet50,fgsm,0.21,77.72560119628906,0.1514838337898254,True
False,0.9992606043815612,0.9992606043815612,0.0093132285401225,0.1158840581774711,vgg16,resnet50,fgsm,0.21,74.56788635253906,0.2519380748271942,True
False,0.0306641981005668,0.2428690940141677,0.0033890521153807,0.1117124110460281,vgg16,resnet50,fgsm,0.21,77.03030395507812,0.1363136172294616,True
False,0.999935746192932,0.999935746192932,0.009189304895699,0.0479772426187992,vgg16,resnet50,fgsm,0.21,79.79144287109375,0.2555138766765594,True
False,0.5261390805244446,0.5261390805244446,0.0047187870368361,0.0486007593572139,vgg16,resnet50,fgsm,0.21,79.46075439453125,0.2138980627059936,True
False,0.9977641105651855,0.9977641105651855,0.0056058932095766,0.7287110090255737,vgg16,resnet50,fgsm,0.21,79.9089584350586,0.111635684967041,True
False,0.902858555316925,0.902858555316925,0.0082951262593269,0.0588934831321239,vgg16,resnet50,fgsm,0.21,76.08808898925781,0.2958775758743286,True
False,0.9997745156288148,0.9997745156288148,0.006073887925595,0.0356687754392623,vgg16,resnet50,fgsm,0.21,79.89431762695312,0.2132968008518219,True
False,0.9997931122779846,0.9997931122779846,0.006889333948493,0.0941263288259506,vgg16,resnet50,fgsm,0.21,77.58666229248047,0.2107475697994232,True
False,0.999991536140442,0.999991536140442,0.0102431382983922,0.050403282046318,vgg16,resnet50,fgsm,0.21,77.51361083984375,0.2228827476501464,True
False,0.9990237951278688,0.9990237951278688,0.0043367901816964,0.3729489147663116,vgg16,resnet50,fgsm,0.21,76.3978271484375,0.1131126135587692,True
False,0.1596251428127288,0.2914247214794159,0.0048054633662104,0.0981795787811279,vgg16,resnet50,fgsm,0.21,75.28829956054688,0.1629730463027954,True
False,0.9974873065948486,0.9974873065948486,0.0049466509371995,0.1216857433319091,vgg16,resnet50,fgsm,0.21,76.61483764648438,0.112809382379055,True
False,0.9984509944915771,0.9984509944915771,0.0040952479466795,0.0604154840111732,vgg16,resnet50,fgsm,0.21,76.19757080078125,0.2368145585060119,True
False,0.7766540050506592,0.7766540050506592,0.0053085936233401,0.9858965277671814,vgg16,resnet50,fgsm,0.21,69.24488067626953,0.1834927499294281,True
False,0.999996304512024,0.999996304512024,0.0041975723579525,0.0539111346006393,vgg16,resnet50,fgsm,0.21,74.44136810302734,0.1854279041290283,True
False,0.9906614422798156,0.9906614422798156,0.0029493439942598,0.0773832127451896,vgg16,resnet50,fgsm,0.21,71.32505798339844,0.0974555015563964,True
False,0.9999997615814208,0.9999997615814208,0.0060054119676351,0.0374094732105731,vgg16,resnet50,fgsm,0.21,79.88021087646484,0.1886034607887268,True
False,0.9884077906608582,0.9884077906608582,0.0062786373309791,0.07498100399971,vgg16,resnet50,fgsm,0.21,78.23216247558594,0.1817756295204162,True
False,0.9996256828308104,0.9996256828308104,0.0053732921369373,0.171643316745758,vgg16,resnet50,fgsm,0.21,77.73506164550781,0.1820252388715744,True
False,0.9701827764511108,0.9701827764511108,0.0074682547710835,0.1154944822192192,vgg16,resnet50,fgsm,0.21,75.51139831542969,0.210408017039299,True
False,0.9454201459884644,0.9454201459884644,0.007132351398468,0.1521839052438736,vgg16,resnet50,fgsm,0.21,74.02510070800781,0.1818754374980926,True
False,0.9999858140945436,0.9999858140945436,0.0061807027086615,0.0741985216736793,vgg16,resnet50,fgsm,0.21,79.58245849609375,0.1449204236268997,True
False,0.9997696280479432,0.9997696280479432,0.0095447432249784,0.0381172001361846,vgg16,resnet50,fgsm,0.21,78.32992553710938,0.1944804638624191,True
False,0.9992350339889526,0.9992350339889526,0.0211273171007633,0.1054625138640403,vgg16,resnet50,fgsm,0.21,74.08442687988281,0.206777811050415,True
False,0.9999760389328004,0.9999760389328004,0.0081731164827942,0.0637042298913002,vgg16,resnet50,fgsm,0.21,77.13262176513672,0.1611483097076416,True
False,0.9999938011169434,0.9999938011169434,0.0105168055742979,0.0721716731786727,vgg16,resnet50,fgsm,0.21,74.70153045654297,0.2218489497900009,True
False,0.9999996423721312,0.9999996423721312,0.0014623992610722,0.8816075921058655,vgg16,resnet50,fgsm,0.21,78.59396362304688,0.0979068279266357,True
True,1.0,1.0,0.9264429211616516,0.9264429211616516,vgg16,resnet50,fgsm,0.21,75.34002685546875,0.1929095834493637,True
False,0.9962365031242372,0.9962365031242372,0.0065093184821307,0.100520022213459,vgg16,resnet50,fgsm,0.21,79.1842041015625,0.435213029384613,True
False,0.9990652203559875,0.9990652203559875,0.0145535552874207,0.0926944091916084,vgg16,resnet50,fgsm,0.21,68.7490463256836,0.1044283509254455,True
False,0.9953802824020386,0.9953802824020386,0.007444123737514,0.2144588977098465,vgg16,resnet50,fgsm,0.21,70.19451904296875,0.1600947678089141,True
False,0.9999877214431764,0.9999877214431764,0.0030719931237399,0.1656350642442703,vgg16,resnet50,fgsm,0.21,73.07960510253906,0.219413012266159,True
False,0.9152818918228148,0.9152818918228148,0.0067477123811841,0.0693634375929832,vgg16,resnet50,fgsm,0.21,79.7242202758789,0.1560730189085006,True
False,0.9999494552612304,0.9999494552612304,0.0052435621619224,0.22247314453125,vgg16,resnet50,fgsm,0.21,76.36349487304688,0.2438472211360931,True
False,0.9993858337402344,0.9993858337402344,0.0710510164499282,0.1047160103917121,vgg16,resnet50,fgsm,0.21,78.2816390991211,0.146758884191513,True
False,0.9997549653053284,0.9997549653053284,0.0067982166074216,0.0471397303044796,vgg16,resnet50,fgsm,0.21,78.57172393798828,0.1378412991762161,True
True,0.9999982118606568,0.9999982118606568,0.5483894944190979,0.5483894944190979,vgg16,resnet50,fgsm,0.21,74.92765045166016,0.2641217112541199,True
False,0.9417413473129272,0.9417413473129272,0.0027924187015742,0.0910775661468505,vgg16,resnet50,fgsm,0.21,73.89100646972656,0.1937211751937866,True
False,0.9999994039535522,0.9999994039535522,0.0057089114561676,0.1900483518838882,vgg16,resnet50,fgsm,0.21,77.66363525390625,0.1241960972547531,True
False,0.998372495174408,0.998372495174408,0.0054771723225712,0.0678704902529716,vgg16,resnet50,fgsm,0.21,76.59420013427734,0.2017304003238678,True
False,0.0353911705315113,0.1467952728271484,0.006734350696206,0.0637968853116035,vgg16,resnet50,fgsm,0.21,74.53032684326172,0.082427941262722,True
False,0.9999790191650392,0.9999790191650392,0.0066518867388367,0.0601129010319709,vgg16,resnet50,fgsm,0.21,77.3092269897461,0.2213331907987594,True
True,1.0,1.0,0.1072502881288528,0.1072502881288528,vgg16,resnet50,fgsm,0.21,75.08617401123047,0.1645794510841369,True
False,0.8666437268257141,0.8666437268257141,0.0012516392162069,0.7801694273948669,vgg16,resnet50,fgsm,0.21,76.35514831542969,0.1339295804500579,True
False,0.9998602867126464,0.9998602867126464,0.0094600170850753,0.0753940343856811,vgg16,resnet50,fgsm,0.21,76.56938934326172,0.1484391540288925,True
False,0.9999668598175048,0.9999668598175048,0.0248282570391893,0.1899261176586151,vgg16,resnet50,fgsm,0.21,74.10297393798828,0.2158977687358856,True
False,0.9915536046028136,0.9915536046028136,0.0030124438926577,0.297513872385025,vgg16,resnet50,fgsm,0.21,75.69056701660156,0.1233942136168479,True
False,0.0096841920167207,0.3639225661754608,0.009268912486732,0.2112722545862198,vgg16,resnet50,fgsm,0.21,78.01862335205078,0.3833190202713012,True
False,0.3099556565284729,0.3099556565284729,0.0069773402065038,0.0372935272753238,vgg16,resnet50,fgsm,0.21,78.18603515625,0.290627121925354,True
False,0.9940693378448486,0.9940693378448486,0.0047154780477285,0.1392328739166259,vgg16,resnet50,fgsm,0.21,78.63075256347656,0.2455276101827621,True
False,0.8144246935844421,0.8144246935844421,0.0053973044268786,0.3424815535545349,vgg16,resnet50,fgsm,0.21,74.0107650756836,0.3050234615802765,True
False,0.4657119214534759,0.4657119214534759,0.0043681990355253,0.0291499383747577,vgg16,resnet50,fgsm,0.21,77.94270324707031,0.12606742978096,True
False,0.8995105624198914,0.8995105624198914,0.0047548590227961,0.1010610684752464,vgg16,resnet50,fgsm,0.21,78.69673156738281,0.1262069791555404,True
False,0.999232292175293,0.999232292175293,0.0084885414689779,0.0758402571082115,vgg16,resnet50,fgsm,0.21,79.88423156738281,0.3206378817558288,True
False,0.9999991655349731,0.9999991655349731,0.0242999643087387,0.1690958738327026,vgg16,resnet50,fgsm,0.21,78.40389251708984,0.2958664298057556,True
False,0.9999064207077026,0.9999064207077026,0.0056405407376587,0.1367607116699218,vgg16,resnet50,fgsm,0.21,75.95755004882812,0.195215493440628,True
False,0.9923980832099916,0.9923980832099916,0.0058234841562807,0.0510980635881423,vgg16,resnet50,fgsm,0.21,75.70133972167969,0.1355230510234832,True
False,0.0070693283341825,0.2575494349002838,0.0024702055379748,0.6407495737075806,vgg16,resnet50,fgsm,0.21,80.72348022460938,0.0577110350131988,True
False,0.4336744844913482,0.4336744844913482,0.0046628373675048,0.0825580283999443,vgg16,resnet50,fgsm,0.21,79.44242095947266,0.1565667241811752,True
False,0.9999815225601196,0.9999815225601196,0.0077418950386345,0.0547347925603389,vgg16,resnet50,fgsm,0.21,79.9014663696289,0.1849000453948974,True
False,0.9996445178985596,0.9996445178985596,0.0145625360310077,0.1278543919324875,vgg16,resnet50,fgsm,0.21,75.92430114746094,0.2555496096611023,True
False,0.9979119896888732,0.9979119896888732,0.0056502218358218,0.1505086719989776,vgg16,resnet50,fgsm,0.21,75.81361389160156,0.1928130090236663,True
