adv_correct_classification_tgt,clean_true_prob_src,clean_max_prob_src,adv_true_prob_tgt,adv_max_prob_tgt,model_src,model_tgt,attack,attack_param,l2_norm,ssim,clean_correct_classification
True,0.9986680746078492,0.9986680746078492,0.9737297892570496,0.9737297892570496,vgg16,resnet50,pgd,0.09,12.872062683105469,0.9054062366485596,True
True,0.999997854232788,0.999997854232788,0.9851518273353576,0.9851518273353576,vgg16,resnet50,pgd,0.09,12.673949241638184,0.8862625956535339,True
True,0.9999802112579346,0.9999802112579346,0.942598044872284,0.942598044872284,vgg16,resnet50,pgd,0.09,12.868968963623049,0.8843902349472046,True
True,0.9998633861541748,0.9998633861541748,0.9972813129425048,0.9972813129425048,vgg16,resnet50,pgd,0.09,12.056385040283203,0.8254479169845581,True
True,0.9992606043815612,0.9992606043815612,0.9911224842071532,0.9911224842071532,vgg16,resnet50,pgd,0.09,12.532716751098633,0.9089425802230836,True
False,0.0306641981005668,0.2428690940141677,0.0009263615938834,0.9512984752655028,vgg16,resnet50,pgd,0.09,11.632970809936523,0.8244330286979675,True
True,0.999935746192932,0.999935746192932,0.9287955164909364,0.9287955164909364,vgg16,resnet50,pgd,0.09,13.62148094177246,0.9078251123428344,True
True,0.5261390805244446,0.5261390805244446,0.9845801591873168,0.9845801591873168,vgg16,resnet50,pgd,0.09,12.36791706085205,0.8701170682907104,True
True,0.9977641105651855,0.9977641105651855,0.98615825176239,0.98615825176239,vgg16,resnet50,pgd,0.09,12.243324279785156,0.7238588333129883,True
True,0.902858555316925,0.902858555316925,0.9690935015678406,0.9690935015678406,vgg16,resnet50,pgd,0.09,12.802151679992676,0.9000979661941528,True
True,0.9997745156288148,0.9997745156288148,0.9972758889198304,0.9972758889198304,vgg16,resnet50,pgd,0.09,12.6121187210083,0.8850719332695007,True
True,0.9997931122779846,0.9997931122779846,0.9898585677146912,0.9898585677146912,vgg16,resnet50,pgd,0.09,12.582021713256836,0.8888635635375977,True
True,0.999991536140442,0.999991536140442,0.999019980430603,0.999019980430603,vgg16,resnet50,pgd,0.09,12.904570579528809,0.8988043665885925,True
False,0.9990237951278688,0.9990237951278688,0.0008195638656616,0.7923915982246399,vgg16,resnet50,pgd,0.09,11.984233856201172,0.7463933229446411,True
False,0.1596251428127288,0.2914247214794159,0.0221267081797122,0.3355360627174377,vgg16,resnet50,pgd,0.09,11.716330528259276,0.7978029251098633,True
True,0.9974873065948486,0.9974873065948486,0.8279383182525635,0.8279383182525635,vgg16,resnet50,pgd,0.09,11.779341697692873,0.7909332513809204,True
True,0.9984509944915771,0.9984509944915771,0.988278329372406,0.988278329372406,vgg16,resnet50,pgd,0.09,12.663395881652832,0.8650792837142944,True
True,0.7766540050506592,0.7766540050506592,0.983052134513855,0.983052134513855,vgg16,resnet50,pgd,0.09,11.489855766296388,0.8297302722930908,True
True,0.999996304512024,0.999996304512024,0.9878371953964232,0.9878371953964232,vgg16,resnet50,pgd,0.09,11.763689041137695,0.8530964255332947,True
False,0.9906614422798156,0.9906614422798156,0.1243319064378738,0.2661764323711395,vgg16,resnet50,pgd,0.09,11.371604919433594,0.7552115321159363,True
True,0.9999997615814208,0.9999997615814208,0.9908191561698914,0.9908191561698914,vgg16,resnet50,pgd,0.09,12.341279029846191,0.8680229187011719,True
False,0.9884077906608582,0.9884077906608582,0.1267722398042678,0.3933819830417633,vgg16,resnet50,pgd,0.09,12.045329093933104,0.857934832572937,True
True,0.9996256828308104,0.9996256828308104,0.9646266102790833,0.9646266102790833,vgg16,resnet50,pgd,0.09,12.581424713134766,0.8633105754852295,True
True,0.9701827764511108,0.9701827764511108,0.9952734112739564,0.9952734112739564,vgg16,resnet50,pgd,0.09,12.58276081085205,0.8714994192123413,True
True,0.9454201459884644,0.9454201459884644,0.9931598901748656,0.9931598901748656,vgg16,resnet50,pgd,0.09,12.162721633911133,0.8314001560211182,True
True,0.9999858140945436,0.9999858140945436,0.8946900963783264,0.8946900963783264,vgg16,resnet50,pgd,0.09,12.02782154083252,0.7961665391921997,True
True,0.9997696280479432,0.9997696280479432,0.9923127293586732,0.9923127293586732,vgg16,resnet50,pgd,0.09,12.520811080932615,0.873529851436615,True
